paypref_b1,income_hh,homeowner,home_value,home_debt,other_assets,other_debts,gender,age,highest_education
Credit card,140000,1,330000,230000,100000,0,1,36,Masters degree
Online banking bill payment,50000,0,NA,NA,5000,8000,1,29,High school or GED
Check,61000,1,220000,184000,0,24000,1,70,Some college/no degree
Online banking bill payment,50000,1,183000,0,5000,500,0,58,Bachelors degree
Check,25000,1,350000,0,5000,0,0,61,Some college/no degree
Online banking bill payment,100000,1,400000,30000,50000,0,0,60,Bachelors degree
Online banking bill payment,250000,1,1000000,410000,2500000,20000,1,61,Masters degree
Check,102000,1,375000,55000,500000,0,1,49,Bachelors degree
Online banking bill payment,165000,1,465000,0,1500000,1000,1,59,Bachelors degree
Online banking bill payment,10200,0,NA,NA,0,0,0,69,Bachelors degree
Cash,32000,0,NA,NA,0,0,0,52,Associate non-academic program
Debit card,38000,1,240000,93000,100000,25000,1,58,Some college/no degree
Online banking bill payment,200000,1,450000,0,0,0,0,52,Bachelors degree
Online banking bill payment,75000,1,375000,150000,75000,0,1,54,Masters degree
Bank account number payment,100000,1,250000,100000,100000,0,1,66,High school or GED
Credit card,9000,0,NA,NA,0,14000,0,68,Bachelors degree
Debit card,85000,0,NA,NA,0,20000,1,34,Masters degree
Bank account number payment,0,0,NA,NA,750000,0,1,53,High school or GED
Check,140000,1,175000,100000,100000,20000,1,48,Bachelors degree
Online banking bill payment,40000,0,NA,NA,50000,200000,0,33,Masters degree
Bank account number payment,48600,0,NA,NA,15000,9000,0,35,Masters degree
Check,78000,1,360000,129000,20000,4000,1,55,Masters degree
Debit card,110000,1,950000,620000,100000,7000,1,50,Bachelors degree
Debit card,90000,1,325000,235000,50000,20000,1,36,Bachelors degree
Online banking bill payment,95000,0,NA,NA,2000,75000,1,61,Some college/no degree
Check,8500,0,NA,NA,450000,20000,1,63,Some college/no degree
Credit card,161000,1,600000,309000,225000,148000,1,35,Masters degree
Debit card,75000,0,NA,NA,35000,21000,1,57,Bachelors degree
Debit card,2000,0,NA,NA,0,0,0,41,Bachelors degree
Credit card,90000,1,285000,0,900000,0,0,73,Professional school
Debit card,16090,0,NA,NA,0,50000,0,39,High school or GED
Debit card,41000,1,130000,0,0,16000,0,50,Associate academic program
Online banking bill payment,13800,1,8000,0,0,35000,0,50,Some college/no degree
Online banking bill payment,200000,1,380000,0,100000,0,1,54,Bachelors degree
Online banking bill payment,100000,1,400000,250000,2000000,10000,1,72,Masters degree
Check,150000,1,300000,65000,850000,150000,1,65,Some college/no degree
Check,55000,1,300000,50000,125000,15000,1,67,Some college/no degree
Online banking bill payment,190000,1,455000,333333,200000,5000,1,38,Bachelors degree
Online banking bill payment,160000,1,289000,24700,75000,0,1,62,Some college/no degree
Credit card,400000,1,830000,500000,100000,100000,1,42,Masters degree
Online banking bill payment,35000,1,225000,0,150000,0,0,68,Some college/no degree
Debit card,60000,1,180000,150000,30000,78000,0,69,Some college/no degree
Debit card,40000,0,NA,NA,0,15000,0,54,Bachelors degree
Check,62000,1,170000,0,207000,150,1,66,Bachelors degree
Check,145000,1,650000,0,100000,0,1,78,Masters degree
Credit card,120000,1,400000,0,0,0,1,60,Doctorate degree
Check,12400,0,NA,NA,2500,500,1,77,Some college/no degree
Online banking bill payment,80000,1,600000,372000,1250000,0,0,71,Masters degree
Credit card,114895,1,200000,0,165000,0,1,89,Bachelors degree
