id,dc_num,cc_num,work_employed,work_onleave,work_temp_unemployed,work_looking,work_retired,work_disabled,work_other,work_occupation,work_self,inc_wage,inc_retempl,inc_self,inc_ss,inc_intdiv,inc_rent,inc_gov,inc_alimony,inc_child,inc_retsav,inc_wage_freq,inc_retempl_freq,inc_self_freq,inc_ss_freq,inc_intdiv_freq,inc_rent_freq,inc_gov_freq,inc_alimony_freq,inc_child_freq,inc_retsav_freq,paypref_b1,paypref_b2,paypref_nb1,paypref_nb2,paypref_lt10,paypref_10to25,paypref_25to50,paypref_50to100,paypref_100plus,paypref_web,cc_type_1,cc_type_2,cc_type_3,cc_type_4,cc_type_5,cc_rewards_1,cc_rewards_2,cc_rewards_3,cc_rewards_4,cc_rewards_5,cc_hasbal_1,cc_hasbal_2,cc_hasbal_3,cc_hasbal_4,cc_hasbal_5,cc_chip_1,cc_chip_2,cc_chip_3,cc_chip_4,cc_chip_5,dc_logo_1,dc_logo_2,dc_logo_3,dc_logo_4,dc_logo_5,dc_rewards_1,dc_rewards_2,dc_rewards_3,dc_rewards_4,dc_rewards_5,dc_acct_1,dc_acct_2,dc_acct_3,dc_acct_4,dc_acct_5,shops_online,last_income_date,paypref_b1_why,paypref_b2_why,paypref_nb1_why,paypref_nb2_why,paypref_web_why,e_exp_csh,e_exp_chk,e_exp_od,e_exp_cc,e_exp_heloc,e_exp_sav,e_exp_payday,e_exp_fam,e_exp_cover,e_exp_pawn,e_exp_csh_saved,e_exp_chk_saved,e_exp_sav_saved,e_exp_prepaid_saved,e_exp_tot_saved,e_exp_prepaid,interest_level,memory_lpd,memory_checkbook,memory_receipts,memory_finrec,memory_memory,memory_oth,next_income_date,scpc_date,gender,dateofbirth_year,age,marital_status,highest_education,hispaniclatino,hispaniclatino_group,race_white,race_black,race_asian,race_other,hh_size,income_hh,homeowner,home_value,home_debt,other_assets,other_debts,ind_weight,census_division
103316,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,3,4,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-09-16,12,1,13,14,11,0,0,0,0,0,2000,0,0,2000,0,0,0,50000,0,50000,0,1,0,1,1,0,0,0,2019-10-15,2019-09-22,1,1983,36,1,14,0,NA,1,0,0,0,4,140000,1,330000,230000,100000,0,0.8119463324546814,1
105052,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,1,4,4,4,4,4,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,2019-10-17,5,5,5,1,NA,0,0,0,2000,0,0,0,0,2000,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2019-10-31,2019-09-19,1,1990,29,1,9,0,NA,1,0,0,0,5,50000,0,NA,NA,5000,8000,4.001214504241943,1
104565,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,7,1,4,1,1,1,1,4,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2019-09-11,10,15,5,14,NA,500,500,0,1000,0,0,0,0,2000,0,0,200,0,0,200,0,3,0,0,1,0,0,0,2019-10-09,2019-09-23,1,1949,70,1,10,0,NA,1,0,0,0,2,61000,1,220000,184000,0,24000,0.566269040107727,1
103476,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,3,1,1,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-17,5,5,5,1,4,0,0,0,700,0,500,0,0,1200,0,62,1771,1595,0,3428,0,2,1,0,1,1,1,0,2019-10-24,2019-09-19,0,1961,58,6,13,0,NA,1,0,0,0,1,50000,1,183000,0,5000,500,0.7573404312133789,1
104384,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,1,4,1,1,4,4,4,4,3,8,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-01,10,1,1,5,4,0,250,0,0,0,0,0,0,250,0,NA,NA,NA,NA,0,0,1,0,0,1,0,0,0,2019-11-01,2019-09-20,0,1957,61,4,10,0,NA,1,0,0,0,2,25000,1,350000,0,5000,0,0.4233335256576538,1
102048,1,1,0,0,0,0,1,0,1,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,7,10,3,1,1,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-19,5,5,5,5,12,0,0,0,2000,0,0,0,0,2000,0,100,100,0,0,200,0,3,0,1,1,1,1,0,2019-12-31,2019-10-22,0,1959,60,1,13,0,NA,1,0,0,0,3,100000,1,400000,30000,50000,0,1.2167967557907104,1
104043,0,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,NA,NA,9,NA,NA,NA,NA,NA,NA,9,7,2,3,1,1,3,3,3,3,3,5,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-05-14,5,10,16,1,12,0,0,0,1000,0,1000,0,0,2000,0,0,2500,3360,0,5860,0,3,0,0,1,0,1,1,2019-10-17,2019-09-22,1,1957,61,1,14,0,NA,1,0,0,0,3,250000,1,1000000,410000,2500000,20000,0.6144427061080933,1
104791,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,3,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,1,3,1,1,3,3,3,3,5,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-10-15,10,5,3,5,1,2000,NA,NA,NA,NA,NA,NA,NA,2000,NA,7500,2680,1100,603,11883,NA,2,0,0,1,1,1,0,2019-11-15,2019-09-19,1,1970,49,4,13,0,NA,1,0,0,0,1,102000,1,375000,55000,500000,0,0.3755226135253906,1
103216,1,4,0,0,0,0,1,0,0,NA,NA,0,1,0,0,1,0,0,0,0,0,NA,4,NA,NA,4,NA,NA,NA,NA,NA,7,3,3,7,3,3,3,3,3,3,1,2,4,2,NA,1,1,0,1,NA,0,0,0,0,NA,1,1,1,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2019-08-30,7,12,13,7,11,0,0,0,0,0,2000,0,0,2000,0,0,0,100000,0,100000,0,1,1,1,1,1,1,0,2019-10-31,2019-09-20,1,1960,59,1,13,0,NA,1,0,1,0,2,165000,1,465000,0,1500000,1000,1.159746766090393,2
101533,1,1,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,7,6,3,1,1,3,3,3,3,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019-10-01,15,10,5,3,11,0,300,0,1000,0,0,0,700,2000,0,40,300,0,50,390,0,2,0,1,1,0,1,0,2019-11-01,2019-09-20,0,1950,69,2,13,0,NA,1,0,0,0,1,10200,0,NA,NA,0,0,0.8899956345558167,1
